user,age,status,gender,drinks,height,smokes,religion,genre,music_decade,music_vibe,listening_frequency,concert
user0,31,single,female,yes,168.0,no,hinduism,K-Pop,2020s,Relaxing and Chill,Frequently,"No, I prefer not to attend concerts"
user1,50,single,female,yes,175.0,no,buddhism,K-Pop,2020s,Upbeat and Energetic,Frequently,"Sometimes, depending on the artist or event"
user2,25,single,male,yes,188.0,no,confucianism,Traditional & Folk Music,2000s,Relaxing and Chill,Frequently,"No, I prefer not to attend concerts"
user3,39,single,male,yes,175.0,no,hinduism,Pop,2010s,Relaxing and Chill,Frequently,"No, I prefer not to attend concerts"
user4,22,single,male,yes,170.0,yes,buddhism,Indie/Alternative,1980s,Upbeat and Energetic,Frequently,"Sometimes, depending on the artist or event"
user5,28,single,male,yes,183.0,no,buddhism,Pop,2010s,Relaxing and Chill,Only in specific situations,"Sometimes, depending on the artist or event"
user6,28,single,male,yes,175.0,no,hinduism,J-Pop,2020s,Relaxing and Chill,Frequently,"Sometimes, depending on the artist or event"
user7,30,single,male,yes,178.0,no,roman catholicism,Pop,2000s,Emotional and Deep,Occasionally,"No, I prefer not to attend concerts"
user8,34,single,male,yes,183.0,no,hinduism,Metal,1970s,Emotional and Deep,Rarely,"Sometimes, depending on the artist or event"
user9,51,single,female,yes,180.0,no,roman catholicism,Pop,2020s,Romantic and Smooth,Only in specific situations,"Sometimes, depending on the artist or event"
user10,27,single,male,yes,185.0,no,hinduism,Pop,1990s,Relaxing and Chill,Only in specific situations,"No, I prefer not to attend concerts"
user11,25,single,male,yes,188.0,yes,confucianism,K-Pop,2020s,Relaxing and Chill,Only in specific situations,"Sometimes, depending on the artist or event"
user12,24,single,male,yes,188.0,no,confucianism,Pop,2010s,Upbeat and Energetic,Only in specific situations,"No, I prefer not to attend concerts"
user13,23,single,male,yes,170.0,no,protestant christianity,Jazz,1990s,Upbeat and Energetic,Rarely,"Sometimes, depending on the artist or event"
user14,30,single,male,yes,188.0,no,confucianism,Rock,1990s,Emotional and Deep,Frequently,"Yes, I love attending concerts"
user15,27,single,female,yes,178.0,no,islam,Pop,2010s,Relaxing and Chill,Only in specific situations,"No, I prefer not to attend concerts"
user16,38,single,male,yes,155.0,no,hinduism,EDM (Electronic Dance Music),2000s,Relaxing and Chill,Frequently,"No, I prefer not to attend concerts"
user17,26,single,male,yes,170.0,no,protestant christianity,Dangdut,2020s,Emotional and Deep,Only in specific situations,"Sometimes, depending on the artist or event"
